350010505000001,288
350010505000002,674
350010505000003,380
350010505000004,570
350010505000005,612
350010505000006,730
350010505000007,515
350010505000008,661
350010505000009,469
350010505000010,636
350010505000012,637
350010505000013,429
350010505000014,664
350010505000015,474
350010505000016,537
350010505000017,617
350010505000018,544
350010505000019,830
350010505000020,618
350010505000022,697
350010505000023,629
350010505000024,454
350010505000025,678
350010505000026,500
350010505000027,630
350010505000032,32
350010505000033,799
350010505000034,406
350010505000035,509
350010505000036,440
350010505000037,577
350010505000038,335
350010505000039,787
350010505000040,349
350010505000042,386
350010505000043,40
350010505000044,761
350010505000048,177
350010505000051,50
350010505000053,98
350010505000057,36
350010505000059,80
350010505000060,24
350010505000061,72
350010505000062,349
350010505000063,384
350010505000065,517
350010505000066,470
350010505000067,398
350010505000068,177
350010505000069,570
350010505000071,8
350010505000072,244
350010505000073,415
350010505000075,10
350010505000077,368
350010505000078,544
350010505000083,151
350010505000085,168
350010505000086,139
350010505000087,98
350010505000089,15
350010505000090,268
350010505000094,319
350010505000095,163
350010505000096,114
350010505000099,372
350010505000100,118
350010505000101,355
350010505000103,65
350010505000104,170
350010505000105,149
350010505000106,183
350010505000109,350
350010505000110,325
350010505000111,649
350010505000112,459
350010505000114,472
350010505000115,309
350010505000116,415
350010505000117,508
350010505000120,62
350010505000122,80
350010505000124,89
350010505000126,381
350010505000127,225
350010505000128,284
350010505000131,4
350010505000134,9
350010505000135,612
350010505000136,102
350010505000137,582
350010505000138,257
350010505000139,99
350010505000140,453
350010505000141,63
350010505000142,166
350020405000002,801
350020405000005,26
350020405000006,44
350020405000012,16
350020405000014,695
350020405000016,68
350020405000021,897
350020405000022,593
350020405000024,419
350020405000026,514
350020405000027,122
350020405000028,156
350030305000001,339
350030305000002,300
350030305000003,446
350030305000004,472
350030305000005,527
350030305000006,671
350030305000007,809
350030305000008,657
350030305000009,605
350030305000011,451
350030305000012,447
350030305000013,664
350030305000014,460
350030305000015,530
350030305000016,499
350030305000017,456
350030305000018,699
350030305000020,503
350030305000023,840
350030305000024,950
350030305000026,637
350030305000027,873
350030305000029,878
350030305000030,891
350030305000031,299
350030305000032,587
350030305000033,639
350030305000034,734
350030305000036,732
350030305000039,343
350030305000040,452
350030305000041,267
350030305000042,245
350030305000043,195
350030305000046,388
350030305000047,438
350030305000051,380
350030305000052,945
350030305000055,561
350030305000056,153
350030305000057,1134
350030305000059,630
350030305000060,410
350030305000061,582
350030305000062,601
350030305000064,743
350030305000066,678
350030305000067,497
350030305000069,122
350030305000071,666
350030305000074,512
350030305000075,478
350030305000076,1029
350030305000077,692
350030305000078,205
350030305000079,149
350030305000080,125
350030305000081,512
350030305000082,345
350040205000001,272
350040205000002,477
350040205000003,403
350040205000004,359
350040205000005,474
350040205000006,658
350040205000010,533
350040205000016,41
350040205000023,344
350040205000025,761
350040205000027,572
350040205000029,141
350040205000031,303
350040205000032,132
350040205000033,158
350040205000034,111
350040210000007,662
350040210000009,500
350040210000011,154
350040210000012,314
350050105000006,571
350050105000007,543
350050105000009,350
350050105000010,500
350050105000012,574
350050105000013,227
350050105000016,527
350050105000017,462
350050105000018,533
350050105000021,139
350050105000024,377
350050105000025,586
350050105000026,502
350050105000029,823
350050105000033,119
350050105000034,220
350050105000035,272
350050105000036,606
350050105000037,332
350050105000038,152
350050105000039,594
350050105000040,613
350050105000041,243
350050105000042,511
350050105000043,572
350050105000044,451
350050105000045,198
350050105000046,173
350050105000047,590
350050105000048,68
350050105000049,312
350050105000050,286
350050105000051,295
350050105000052,265
350050105000053,113
350050105000055,536
350050105000057,194
350050105000058,379
350050105000060,451
350050105000061,101
350050105000062,287
350050105000063,117
350050105000064,204
350050105000065,18
350050105000066,30
350050105000067,257
350050105000068,112
350050105000069,197
350050105000070,78
350050105000071,173
350050105000072,525
350050105000073,145
350050105000074,132
350050105000075,295
350055005000003,459
350055005000007,336
350055005000016,221
350055005000017,94
350055005000018,13
350055005000022,31
350055005000024,123
350055005000025,270
350055005000026,231
350055005000027,270
350055005000028,326
350055005000029,419
350055005000030,486
350055005000031,435
350055005000032,494
350055005000033,230
350055005000034,164
350055005000035,297
350055005000036,312
350055005000037,184
350055005000038,284
350055005000039,415
